Depth,Gamma,K,U,Th,MagSusc
1.31,13.5447,0.06427893,0.98965,3.436822,-0.1223695
1.31,13.32114,0.06665664,0.9894144,3.437169,-0.1238557
1.32,13.09759,0.06903436,0.9891789,3.437516,-0.1239154
1.32,12.87403,0.07141207,0.9889433,3.437862,-0.1227538
1.32,12.65048,0.07378979,0.9887078,3.438209,-0.1205756
1.32,12.42697,0.07616697,0.9884723,3.438556,-0.1177175
1.32,12.38118,0.07920738,0.9882234,3.43904,-0.1146474
1.32,12.3354,0.08224732,0.9879745,3.439525,-0.1115715
1.32,12.28962,0.08528727,0.9877256,3.440009,-0.1086609
1.33,12.24384,0.08832699,0.9874766,3.440493,-0.106052
1.33,12.19805,0.09136694,0.9872278,3.440978,-0.1038811
1.33,12.15227,0.09440689,0.9869789,3.441462,-0.1021985
1.33,12.19367,0.09754018,0.9867567,3.442003,-0.1007982
1.33,12.26412,0.1007043,0.9865434,3.442563,-0.09948183
1.33,12.33458,0.1038687,0.98633,3.443123,-0.09803567
1.34,12.40503,0.1070331,0.9861167,3.443683,-0.09619283
1.34,12.47549,0.1101975,0.9859034,3.444243,-0.0936861
1.34,12.54594,0.1133619,0.9856901,3.444803,-0.09024854
1.34,12.67449,0.1163684,0.9855034,3.44533,-0.0857439
1.34,12.86118,0.1192172,0.9853434,3.445823,-0.08010618
1.34,13.04787,0.1220661,0.9851834,3.446317,-0.07333938
1.35,13.23456,0.1249149,0.9850234,3.44681,-0.06557707
1.35,13.42123,0.1277635,0.9848634,3.447303,-0.05695276
1.35,13.60792,0.1306124,0.9847034,3.447797,-0.04759998
1.35,13.81171,0.1332837,0.9845533,3.448259,-0.03764826
1.35,14.06688,0.1354214,0.9844334,3.448628,-0.0272617
1.35,14.32204,0.1375592,0.9843134,3.448997,-0.01671123
1.36,14.57719,0.1396968,0.9841934,3.449365,-0.00632654
1.36,14.83235,0.1418346,0.9840733,3.449734,0.003543281
1.36,15.08752,0.1439724,0.9839534,3.450103,0.01254914
1.36,15.34278,0.146111,0.9838333,3.450472,0.02037704
1.36,15.68533,0.147537,0.9837533,3.450716,0.02674819
1.36,16.02803,0.1489637,0.9836733,3.450961,0.03164273
1.36,16.37073,0.1503903,0.9835933,3.451205,0.03497793
1.37,16.71343,0.151817,0.9835134,3.45145,0.03660834
1.37,17.05611,0.1532436,0.9834334,3.451694,0.03638848
1.37,17.39881,0.1546702,0.9833533,3.451939,0.03419079
1.37,17.63229,0.1555641,0.9833033,3.45209,0.02994122
1.37,17.82927,0.1562798,0.9832633,3.45221,0.02368286
1.37,18.02624,0.1569955,0.9832233,3.45233,0.01558369
1.38,18.22319,0.1577111,0.9831833,3.45245,0.006069464
1.38,18.42016,0.1584268,0.9831433,3.45257,-0.004434046
1.38,18.61713,0.1591425,0.9831033,3.45269,-0.01550114
1.38,18.72168,0.1596201,0.9830766,3.45277,-0.02683561
1.38,18.734,0.1598601,0.9830633,3.45281,-0.03801554
1.38,18.74632,0.1601001,0.98305,3.45285,-0.04849355
