Depth,Gamma,K,U,TH,MagSusc
1.03,15.8898,0.2227243,0.8273122,2.721124,-0.05934705
1.03,15.7521,0.2220752,0.8318192,2.713267,-0.05715244
1.03,15.6144,0.221426,0.8363261,2.705411,-0.05544889
1.03,15.48737,0.2212595,0.840786,2.703462,-0.05428459
1.03,15.39215,0.222535,0.8451065,2.719169,-0.05372337
1.03,15.29694,0.2238106,0.849427,2.734876,-0.05391959
1.04,15.20172,0.2250862,0.8537475,2.750583,-0.0549823
1.04,15.10651,0.2263617,0.858068,2.766289,-0.05700273
1.04,15.0113,0.2276372,0.8623882,2.781995,-0.06007365
1.04,14.91614,0.228912,0.8667061,2.797693,-0.06432721
1.04,14.80812,0.2308332,0.8709669,2.821268,-0.06993107
1.04,14.70016,0.2327534,0.8752252,2.84483,-0.07671443
1.04,14.59221,0.2346734,0.8794831,2.868389,-0.08453798
1.05,14.48426,0.2365935,0.8837414,2.891951,-0.09331872
1.05,14.3763,0.2385136,0.8879997,2.915512,-0.1029416
1.05,14.26834,0.2404337,0.8922579,2.939074,-0.1133057
1.05,14.14522,0.2428375,0.8964695,2.968529,-0.1242575
1.05,14.01708,0.2454019,0.9006652,2.999942,-0.1357264
1.05,13.88892,0.2479665,0.9048613,3.031356,-0.147634
1.06,13.76076,0.250531,0.9090573,3.062771,-0.1596964
1.06,13.63261,0.2530956,0.9132534,3.094186,-0.1716503
1.06,13.50446,0.25566,0.9174491,3.125599,-0.183191
1.06,13.38283,0.2582245,0.9216452,3.157013,-0.1942279
1.06,13.26772,0.2607891,0.9258412,3.188428,-0.2045759
1.06,13.15262,0.2633537,0.9300373,3.219843,-0.2139617
1.07,13.03752,0.265918,0.934233,3.251256,-0.222029
1.07,12.92241,0.2684826,0.9384291,3.28267,-0.2284063
1.07,12.80731,0.2710472,0.9426251,3.314085,-0.2327305
1.07,12.71957,0.2734516,0.9468367,3.343535,-0.234576
1.07,12.71387,0.2753762,0.951095,3.367097,-0.2336439
1.07,12.70816,0.2773006,0.9553529,3.390657,-0.229998
1.08,12.70245,0.2792252,0.9596112,3.414218,-0.2239099
1.08,12.69674,0.2811497,0.9638695,3.43778,-0.2157274
1.08,12.69104,0.2830743,0.9681277,3.461341,-0.2057812
1.08,12.68533,0.2849987,0.9723857,3.484901,-0.1944447
1.08,12.7194,0.2856389,0.972324,3.492756,-0.182163
1.08,12.75348,0.286279,0.9722623,3.500611,-0.1695507
1.08,12.78755,0.2869191,0.9722006,3.508466,-0.1570871
1.09,12.82163,0.2875593,0.9721389,3.516321,-0.1451067
1.09,12.8557,0.2881994,0.9720771,3.524175,-0.1339534
1.09,12.88977,0.2888395,0.9720154,3.53203,-0.1238828
1.09,12.88649,0.2889996,0.972,3.533995,-0.1149913
1.09,12.87074,0.2889997,0.972,3.533996,-0.1069414
1.09,12.855,0.2889998,0.972,3.533997,-0.09938998
1.10,12.83925,0.2889998,0.972,3.533998,-0.09227428
1.10,12.82351,0.2889999,0.972,3.533998,-0.08554142
1.10,12.80776,0.2889999,0.972,3.533999,-0.07914322
1.10,12.82634,0.2889755,0.9720067,3.533931,-0.0729181
1.10,12.87928,0.2889267,0.97202,3.533793,-0.06700516
1.10,12.93221,0.2888778,0.9720334,3.533655,-0.06182377
1.11,12.98515,0.2888289,0.9720467,3.533518,-0.05767006
1.11,13.03809,0.28878,0.97206,3.53338,-0.05482025
1.11,13.09103,0.2887311,0.9720734,3.533242,-0.05355738
1.11,13.16111,0.2886578,0.9720934,3.533035,-0.05437189
1.11,13.28276,0.2885111,0.9721334,3.532617,-0.05761627
1.11,13.4044,0.2883644,0.9721734,3.532199,-0.06302462
1.12,13.52604,0.2882178,0.9722134,3.531781,-0.07030384
1.12,13.64769,0.2880711,0.9722534,3.531363,-0.07912706
1.12,13.76933,0.2879244,0.9722934,3.530945,-0.08918644
1.12,13.8909,0.2877778,0.9723334,3.530528,-0.1000238
1.12,13.99808,0.2870663,0.9724223,3.52975,-0.1110279
1.12,14.1052,0.2863551,0.9725112,3.528972,-0.1218965
1.12,14.21232,0.285644,0.9726001,3.528194,-0.132171
1.13,14.31944,0.2849329,0.972689,3.527416,-0.1412757
1.13,14.42656,0.2842218,0.9727779,3.526638,-0.1486012
1.13,14.53367,0.2835108,0.9728668,3.525861,-0.1536743
1.13,14.62991,0.2820258,0.9730123,3.524753,-0.1563218
1.13,14.72252,0.2802836,0.9731768,3.523535,-0.1564401
1.13,14.81514,0.2785414,0.9733412,3.522317,-0.1540583
1.14,14.90774,0.2767993,0.9735057,3.521099,-0.1495255
1.14,15.00036,0.2750571,0.9736701,3.519882,-0.1431838
1.14,15.09297,0.2733149,0.9738346,3.518664,-0.1353961
1.14,15.17615,0.2710567,0.9740368,3.517226,-0.1263652
1.14,15.24991,0.2682834,0.9742768,3.515568,-0.1165688
1.14,15.32366,0.2655103,0.9745168,3.513911,-0.1067537
1.15,15.39742,0.262737,0.9747568,3.512253,-0.09736267
1.15,15.47118,0.2599637,0.9749968,3.510595,-0.08881632
1.15,15.54494,0.2571904,0.9752368,3.508937,-0.08155616
1.15,15.62102,0.2541593,0.9754956,3.507169,-0.07597513
1.15,15.7041,0.2503549,0.9758112,3.505072,-0.07226191
1.15,15.78718,0.2465504,0.9761268,3.502974,-0.06993507
1.16,15.87027,0.242746,0.9764423,3.500876,-0.06862438
1.16,15.95334,0.2389419,0.9767578,3.498779,-0.06799448
1.16,16.03642,0.2351375,0.9770734,3.496681,-0.06770802
1.16,16.1195,0.2313333,0.9773889,3.494583,-0.06729526
1.16,16.14053,0.2265952,0.9777534,3.492321,-0.06615017
1.16,16.16155,0.2218575,0.9781178,3.490059,-0.06429213
1.16,16.18258,0.2171201,0.9784822,3.487797,-0.06174889
1.17,16.20361,0.2123823,0.9788467,3.485534,-0.05855874
1.17,16.22464,0.2076446,0.9792112,3.483272,-0.05476293
1.17,16.24566,0.2029069,0.9795756,3.48101,-0.05050332
1.17,16.21503,0.1975429,0.9799567,3.478838,-0.04625103
1.17,16.16716,0.1919696,0.9803433,3.476696,-0.04226346
1.17,16.1193,0.1863963,0.98073,3.474553,-0.0387362
1.18,16.07143,0.180823,0.9811167,3.472411,-0.035822
1.18,16.02357,0.1752497,0.9815033,3.470269,-0.03367824
1.18,15.97571,0.1696768,0.9818899,3.468127,-0.03246292
1.18,15.93892,0.1641524,0.9822655,3.466125,-0.03201917
1.18,15.91323,0.1586768,0.98263,3.464262,-0.03217382
