Depth,Gamma,K,U,TH,MagSusc
1.89,20.0000,0.0697,2.0464,0.9990,0.0776
1.89,20.0000,0.0687,2.0428,0.9990,0.0852
1.89,24.0003,0.0680,2.0400,0.9990,0.1285
1.89,22.2225,0.0680,2.0400,0.9990,0.1118
1.89,20.4449,0.0680,2.0400,0.9990,0.0963
1.9,19.8260,0.0764,2.0722,0.9986,-0.0110
1.9,19.8956,0.0754,2.0685,0.9988,0.0106
1.9,19.9652,0.0745,2.0648,0.9989,0.0322
1.9,20.0000,0.0735,2.0612,0.9990,0.0460
1.9,20.0000,0.0726,2.0575,0.9990,0.0545
1.9,20.0000,0.0716,2.0538,0.9990,0.0622
1.91,19.8491,0.0800,2.0860,0.9980,-0.0960
1.91,20.9854,0.0800,2.0860,0.9980,-0.1120
1.91,22.1218,0.0800,2.0860,0.9980,-0.1280
1.91,19.6172,0.0793,2.0832,0.9981,-0.0758
1.91,19.6868,0.0783,2.0796,0.9983,-0.0542
1.91,19.7564,0.0774,2.0759,0.9984,-0.0326
1.92,23.2581,0.0800,2.0860,0.9980,-0.1440
1.92,24.3943,0.0800,2.0860,0.9980,-0.1600
1.92,25.5306,0.0800,2.0860,0.9980,-0.1760
1.92,26.6670,0.0800,2.0860,0.9980,-0.1859
1.92,26.6670,0.0800,2.0860,0.9980,-0.1757
1.92,26.6670,0.0800,2.0860,0.9980,-0.1594
1.92,26.6670,0.0800,2.0860,0.9980,-0.1431
1.93,26.6670,0.0800,2.0860,0.9980,-0.1267
1.93,26.6670,0.0800,2.0860,0.9980,-0.1104
1.93,26.6670,0.0800,2.0860,0.9980,-0.0952
1.93,27.1190,0.0800,2.0860,0.9980,-0.0846
1.93,27.7219,0.0800,2.0860,0.9980,-0.0774
1.93,28.3248,0.0800,2.0860,0.9980,-0.0702
1.94,28.9276,0.0800,2.0860,0.9980,-0.0630
1.94,29.5305,0.0800,2.0860,0.9980,-0.0558
1.94,30.1333,0.0800,2.0860,0.9980,-0.0482
1.94,30.4350,0.0800,2.0860,0.9980,-0.0381
1.94,30.4350,0.0800,2.0860,0.9980,-0.0241
1.94,30.4350,0.0800,2.0860,0.9980,-0.0102
1.95,30.4350,0.0800,2.0860,0.9980,0.0037
1.95,30.4350,0.0800,2.0860,0.9980,0.0176
1.95,30.4350,0.0800,2.0860,0.9980,0.0315
1.95,29.9285,0.0800,2.0860,0.9980,0.0435
1.95,27.9035,0.0800,2.0860,0.9980,0.0496
1.95,25.8784,0.0800,2.0860,0.9980,0.0557
1.96,23.8533,0.0800,2.0860,0.9980,0.0618
1.96,21.8282,0.0800,2.0860,0.9980,0.0678
1.96,19.8033,0.0800,2.0860,0.9980,0.0739
1.96,17.7780,0.0800,2.0860,0.9980,0.0784
1.96,19.1073,0.0800,2.0860,0.9980,0.0778
1.96,20.4368,0.0800,2.0860,0.9980,0.0755
