Depth,PenRate,PercPress,FeedPress,FlushAirPress,RotPress,DampPress
6.004,2.214,190.282,89.318,7.711,57.044,74.371
6.03,2.46,190.534,88.192,7.711,59.479,72.277
6.051,2.232,190.041,86.048,7.727,60.49,72.068
6.075,2.237,190.44,85.159,7.727,58.31,69.12
6.098,2.474,190.279,87.604,7.727,57.88,71.509
6.125,2.588,190.642,87.348,7.742,59.394,73.578
6.152,2.508,189.645,86.479,7.742,58.619,71.551
6.174,2.322,190.025,88.274,7.727,56.257,72.447
6.198,2.37,190.664,88.942,7.742,55.458,74.584
6.219,2.228,190.352,89.109,7.742,55.132,73.485
6.242,2.14,189.568,89.073,7.742,55.723,72.778
6.262,2.181,189.952,89.187,7.742,55.547,74.06
6.287,2.321,189.95,89.265,7.742,58.701,74.909
6.313,2.003,190.436,89.057,7.742,57.78,77.094
6.34,1.965,190.356,89.343,7.727,56.953,73.282
6.367,2.029,189.618,88.763,7.727,57.843,72.071
6.394,2.071,190.48,88.874,7.742,55.507,71.491
6.415,2.264,190.462,89.309,7.757,54.805,73.007
6.437,2.053,190.553,88.699,7.772,55.301,73.954
6.457,2.164,190.894,89.163,7.772,55.722,73.813
6.481,2.222,190.708,89.241,7.788,57.521,74.073
6.501,2.187,189.532,88.76,7.757,57.725,74.452
6.522,2.027,190.124,89.226,7.742,57.06,72.328
6.546,2.208,190.987,89.258,7.772,56.982,72.498
6.566,2.168,190.91,88.85,7.772,57.871,73.065
6.588,2.085,189.963,87.897,7.788,57.696,70.59
6.61,2.392,189.906,88.71,7.788,57.109,72.642
6.634,2.213,189.841,89.12,7.757,56.739,75.875
6.663,2.163,189.993,89.092,7.788,55.66,73.418
6.691,2.103,190.188,88.646,7.772,55.057,73.782
6.719,2.087,189.729,88.824,7.772,54.897,72.986
6.747,2.115,188.107,89.045,7.742,54.54,73.27
6.774,2,189.057,89.073,7.742,54.592,72.185
6.794,2.251,190.689,88.877,7.742,55.256,72.542
6.817,2.127,190.765,88.804,7.757,54.238,71.056
6.837,2.214,190.023,89.04,7.742,54.452,70.585
6.86,2.178,189.866,89.192,7.757,54.828,71.727
6.883,2.108,190.042,88.867,7.772,54.673,71.973
6.909,2.01,190.209,88.841,7.772,54.668,70.202
6.936,2.032,189.909,89.049,7.788,54.979,69.707
6.964,2.071,189.986,88.953,7.757,54.608,68.448
7,3.906,134.865,25.559,8.553,38.691,39.34
7.032,4.867,141.111,36.745,8.568,42.144,40.874
7.054,1.633,144.362,56.186,8.553,51.878,54.11
7.077,1.165,141.333,55.248,8.522,50.542,51.574
7.099,1.099,141.546,53.664,8.491,49.366,49.584
7.124,1.805,151.922,67.1,8.491,51.905,59.736
7.149,1.917,171.455,86.603,8.446,55.344,71.846
7.17,1.985,186.591,91.986,8.43,55.102,71.984
7.191,2.241,193.179,92.089,8.43,55.47,72.472
7.215,2.258,194.464,90.853,8.43,55.292,71.116
7.243,2.165,191.469,90.933,8.43,56.788,72.147
7.269,1.916,193.818,90.443,8.4,58.033,69.798
7.296,2.043,194.534,89.423,8.415,58.267,67.345
7.316,2.146,192.774,90.085,8.415,56.106,70.505
7.337,1.957,192.437,89.504,8.4,54.338,69.028
7.364,2.029,191.76,88.999,8.369,56.402,68.311
7.391,2.067,191.52,89.225,8.339,56.667,67.635
7.419,2.103,191.397,89.184,8.339,55.788,67.732
7.44,2.241,191.384,89.173,8.354,56.382,69.566
7.462,2.077,191.881,88.785,8.339,55.917,66.291
7.483,2.155,192.06,88.855,8.354,55.927,66.542
7.506,2.206,191.873,88.991,8.323,56.133,69.876
7.53,2.305,192.081,88.542,8.354,55.038,68.95
7.557,2.039,191.525,89.108,8.339,52.741,69.357
7.584,2.012,191.628,89.138,8.339,54.381,68.602
7.611,2.026,192.031,89.196,8.354,54.517,70.221
7.637,2.004,192.638,89.25,8.339,54.998,70.755
7.664,1.994,191.466,89.202,8.339,56.884,71.598
7.691,2.048,190.458,89.115,8.308,57.126,71.048
7.719,2.077,191.848,88.986,8.308,59.137,69.935
7.747,2.112,191.697,87.457,8.308,59.044,68.726
7.774,2.048,191.367,88.487,8.323,54.445,65.794
7.802,2.116,191.633,89.049,8.323,54.133,66.829
7.829,2.048,191.764,88.662,8.323,54.298,67.44
7.852,2.196,191.542,89.141,8.308,53.493,67.747
7.88,2.086,191.435,89.019,8.323,54.442,68.748
7.908,2.09,191.191,88.731,8.323,55.419,65.889
7.935,2.006,191.796,89.306,8.339,55.076,66.562
7.962,2.013,191.777,89.204,8.339,54.229,64.394
7.982,2.177,191.581,89.205,8.308,53.937,63.449
8.007,2.333,192.23,88.412,8.293,54.471,64.116
8.027,2.159,191.12,88.673,8.293,54.597,63.73
8.05,2.201,192.028,88.809,8.308,54.173,63.889
8.078,2.083,191.852,89.003,8.308,54.652,66.261
8.106,2.138,191.45,88.934,8.308,54.524,65.951
8.133,2.048,191.525,88.715,8.308,54.656,67.32
8.159,1.971,192.182,89.132,8.293,54.444,64.769
8.186,1.997,191.379,89.105,8.293,54.065,64.364
8.208,2.041,192.171,88.987,8.308,54.459,64.687
8.228,2.177,191.729,88.539,8.308,54.53,63.909
8.25,2.089,191.54,88.84,8.323,55.43,66.794
8.278,2.052,191.998,89.096,8.293,56.395,65.738
8.305,2.096,191.082,88.876,8.323,54.76,67.319
8.326,2.223,191.864,88.58,8.339,55.75,68.889
8.349,2.149,191.465,88.769,8.323,55.472,68.129
8.369,2.159,191.918,88.817,8.293,55.804,67.684
8.393,2.256,191.618,89.187,8.308,57.2,69.691
8.422,2.158,191.219,88.976,8.323,56.844,67.855
8.45,2.139,191.028,88.793,8.339,58.372,68.4
8.47,2.219,191.013,88.333,8.354,58.382,67.631
8.494,2.196,191.522,87.228,8.354,58.973,67.4
8.519,1.933,191.605,87.475,8.339,59.008,70.485
8.542,1.729,191.796,88.23,8.369,59.32,69.55
8.567,1.805,191.576,87.742,8.384,59.95,68.739
8.591,1.834,191.488,83.281,8.369,60.998,64.933
8.617,1.933,191.838,83.722,8.384,59.554,64.169
8.644,2.048,192.065,85.458,8.4,59.486,66.801
8.672,2.071,191.41,87.081,8.354,58.382,65.532
8.698,2.011,192.36,87.556,8.354,58.448,67.476
8.724,1.945,191.826,88.118,8.369,58.351,66.233
8.745,2.043,191.399,87.564,8.369,58.606,65.21
8.766,2.181,191.472,87.935,8.369,57.369,66.54
8.789,2.161,191.066,88.792,8.369,56.222,66.687
8.817,2.125,191.254,88.917,8.4,56.141,66.734
8.837,2.15,191.751,88.762,8.384,56.268,68.839
8.858,2.009,191.481,88.912,8.4,56.542,66.34
8.886,2.093,191.246,88.719,8.384,56.476,67.252
8.914,2.064,191.127,88.881,8.384,56.681,66.163
8.934,2.159,191.645,88.898,8.4,56.684,66.844
8.957,2.193,190.927,88.944,8.415,57.282,69.232
8.984,2.036,190.955,88.775,8.4,55.915,67.543
9.012,2.1,190.934,89.177,8.4,55.62,68.519
9.033,2.026,191.674,89.232,8.384,56.303,68.71
9.062,2.169,191.856,89.141,8.384,55.547,68.829
9.09,2.131,191.095,89.203,8.384,56.01,70.644
9.119,2.106,191.635,88.926,8.4,55.664,67.46
9.146,2.026,191.814,89.038,8.4,55.959,69.02
9.172,2,191.538,88.787,8.369,55.401,66.772
9.201,2.128,191.276,89.153,8.4,54.352,66.919
9.229,2.096,191.358,88.912,8.4,55.145,67.734
9.25,2.264,191.423,89.096,8.384,54.797,68.195
9.273,2.169,191.5,88.868,8.415,54.424,69.4
9.301,2.11,191.05,88.745,8.415,53.797,65.567
9.329,2.129,191.296,88.941,8.415,52.943,66.702
9.356,2.104,191.787,89.041,8.4,51.793,67.718
9.379,2.125,192.387,89.193,8.415,51.301,67.485
9.399,2.168,191.981,88.409,8.4,52.75,68.625
9.42,2.242,191.665,88.746,8.4,53.022,67.834
9.443,2.141,191.97,89.247,8.415,54.414,69.231
9.464,2.219,191.766,88.925,8.415,54.491,69.208
9.486,2.061,191.972,88.942,8.415,54.173,67.944
9.507,2.319,191.971,89.036,8.4,54.247,68.077
9.532,2.281,191.413,89.14,8.43,54.48,70.794
9.561,2.189,192.307,88.918,8.43,54.718,68.742
9.588,2.085,192.332,88.924,8.415,53.777,69.397
9.611,2.124,191.693,88.985,8.446,53.219,68.926
9.638,2.077,191.175,88.891,8.461,51.881,70.003
9.664,1.987,192.031,88.948,8.461,52.124,70.704
9.685,2.237,191.274,88.889,8.4,54.029,69.142
9.709,2.213,191.426,88.891,8.415,53.613,69.595
9.729,2.546,191.436,89.412,8.43,53.292,71.36
9.75,1.913,191.266,88.792,8.415,52.009,69.08
9.776,1.946,191.742,89.215,8.446,51.746,70.131
9.802,1.959,192.261,89.041,8.461,53.929,68.753
9.83,2.096,191.549,89.049,8.461,56.142,68.648
9.851,2.246,191.688,88.877,8.446,57.447,71.487
9.874,2.213,191.444,87.761,8.476,59.509,69.616
9.897,2.474,191.86,85.721,8.476,61.685,66.605
9.922,3.133,190.938,79.933,8.491,65.02,62.514
9.949,2.894,174.21,74.223,8.491,58.961,61.407
9.974,2.419,178.57,81.317,8.476,61.631,70.577
10.004,2.232,189.788,85.62,8.491,56.267,68.634
10.03,1.978,191.398,89.028,8.476,56.571,71.512
10.057,2.013,191.677,89.493,8.476,56.509,70.551
10.077,2.196,191.64,89.537,8.461,57.007,70.825
10.099,2.057,191.788,89.219,8.446,56.494,71.533
10.127,2.087,191.487,88.698,8.461,56.736,71.15
10.147,2.182,191.282,88.917,8.43,56.922,70.265
10.17,2.113,192.249,89.189,8.461,57.009,72.254
10.199,2.192,191.28,88.695,8.476,57.75,70.144
10.22,2.243,190.975,86.934,8.476,62.683,69.799
10.245,2.358,191.16,81.596,8.461,61.514,62.985
10.268,2.5,191.836,80.28,8.461,64.792,63.047
10.293,2.411,191.545,76.859,8.491,64.228,61.453
10.319,2.452,190.895,76.3,8.491,63.434,59.154
10.342,2.447,190.985,78.643,8.491,61.911,60.711
10.365,2.129,191.794,80.294,8.507,60.687,63.802
10.39,1.917,191.526,82.974,8.491,63.47,67.384
10.414,1.491,190.367,79.566,8.491,64.804,64.608
10.438,1.793,191.41,77.795,8.507,64.562,59.606
10.46,2.073,190.504,76.393,8.491,62.275,57.756
10.483,2.474,190.882,79.481,8.507,62.131,60.422
10.504,1.916,191.589,81.081,8.507,61.836,59.819
10.531,2.068,191.418,82.878,8.507,59.736,61.34
10.557,1.948,191.934,85.449,8.491,58.871,63.715
10.583,2.036,191.553,86.684,8.507,58.916,64.244
10.611,2.067,192.173,88.103,8.522,56.591,64.877
10.632,1.953,191.72,88.77,8.507,54.584,62.297
10.663,5.951,135.119,26.128,10.328,45.053,39.343
10.69,4.09,144.83,41.375,10.236,47.114,41.862
10.712,1.381,142.187,56.159,9.991,50.538,54.817
10.733,1.23,141.971,54.665,9.807,50.756,51.151
10.756,1.433,141.96,53.168,9.685,52.206,49.153
10.776,1.905,145.638,59.272,9.608,53.276,53.386
10.804,2.048,162.472,79.118,9.517,56.384,67.368
10.824,2.219,176.101,90.399,9.44,57.394,73.351
10.848,2.256,190.552,92.284,9.394,57.145,76.483
10.869,2.187,193.186,91.603,9.348,55.925,74.689
10.891,2.057,193.873,91.73,9.302,56.127,72.569
10.911,2.178,193.299,91.113,9.257,56.146,74.383
10.935,2.264,193.273,90.517,9.226,56.185,72.633
10.959,2.306,193.759,89.944,9.211,55.152,72.258
10.988,2.155,190.233,89.687,9.195,55.476,71.908
11.008,2.191,190.566,89.657,9.18,56.159,72.133
11.031,2.168,190.233,89.658,9.149,56.644,72.067
11.059,2.121,190.677,89.481,9.119,55.828,70.378
11.086,1.972,191.046,89.589,9.104,54.201,70.894
11.111,1.93,190.726,89.789,9.088,53.64,70.432
11.132,2.196,191.013,89.162,9.088,54.538,70.364
11.154,2.101,190.962,88.593,9.073,56.215,71.254
11.176,2.258,190.986,88.588,9.058,56.942,69.986
11.2,2.339,191.339,88.843,9.058,56.736,68.975
11.224,2.493,191.158,88.668,9.058,55.115,71.078
11.248,2.328,190.92,89.22,9.042,56.66,71.057
11.269,2.219,190.798,89.254,9.027,57.021,71.214
11.293,2.305,191.59,89.25,8.996,56.212,72.312
11.317,2.277,190.949,88.914,8.966,58.601,70.359
11.338,2.236,191.325,88.098,8.966,58.733,69.18
11.361,2.225,191.276,86.974,8.951,59.555,68.495
11.384,2.41,191.11,86.943,8.951,58.776,68.667
11.409,2.325,191.424,87.723,8.935,58.284,70.912
11.429,2.159,192.315,88.524,8.951,56.663,69.061
11.455,2.377,192.676,88.881,8.966,57.27,68.333
11.477,2.42,191.985,88.868,8.966,57.633,71.836
11.501,2.261,191.591,88.755,8.981,56.821,69.673
11.522,2.25,191.962,88.958,8.981,56.115,69.043
11.547,2.345,191.481,89.205,8.951,56.935,70.194
11.576,2.197,191.338,89.038,8.951,55.959,67.148
11.605,2.178,191.931,89.298,8.966,56.33,68.091
11.633,2.181,191.102,89.141,8.966,54.737,65.31
11.654,2.239,190.974,88.898,8.981,55.045,63.618
11.679,2.289,191.762,88.737,8.981,54.859,64.03
11.702,2.469,191.126,89.162,8.996,55.169,65.245
11.725,2.185,191.195,88.951,8.981,55.656,65.711
11.749,2.289,191.44,89.298,8.966,56.248,64.893
11.771,2.314,191.528,89.388,8.981,56.086,64.956
11.792,2.287,191.7,89.102,8.981,56.693,66.691
11.816,2.241,190.888,89.221,9.012,55.495,64.154
11.837,2.232,191.403,89.037,9.012,55.69,64.026
11.863,2.436,191.233,89.044,9.012,55.87,66.15
